wavelength_AA,flux_density
1058.1558919379631,0.0
1058.1655348186703,0.0
1058.1751776993774,0.0
1058.1848205800845,0.0
1058.1944634607917,0.0
1058.204106341499,0.0
1058.2137492222062,0.0
1058.2233921029133,0.0
1058.2330349836204,0.0
1058.2426778643276,0.0
1058.2523207450347,0.0
1058.2619636257418,0.0
1058.271606506449,0.0
1058.2812493871563,0.0
1058.2908922678635,0.0
1058.3005351485706,0.0
1058.3101780292777,0.0
1058.3198209099849,0.0
1058.329463790692,0.0
1058.3391066713991,0.0
1058.3487495521063,0.0
1058.3583924328134,0.0
1058.3680353135207,0.0
1058.3776781942279,0.0
1058.387321074935,0.0
1058.3969639556421,0.0
1058.4066068363493,0.0
1058.4162497170564,0.0
1058.4258925977635,0.0
1058.4355354784707,0.0
1058.445178359178,0.0
1058.4548212398852,0.0
1058.4644641205923,0.0
1058.4741070012994,0.0
1058.4837498820066,0.0
1058.4933927627137,0.0
1058.5030356434208,0.0
1058.512678524128,0.0
1058.522321404835,0.0
1058.5319642855425,0.0
1058.5416071662496,0.0
1058.5512500469567,0.0
1058.5608929276639,0.0
1058.570535808371,0.0
1058.5801786890781,0.0
1058.5898215697853,0.0
1058.5994644504924,0.0
1058.6091073311998,0.0
1058.618750211907,0.0
1058.628393092614,0.0
1058.6380359733212,0.0
1058.6476788540283,0.0
1058.6573217347354,0.0
1058.6669646154426,0.0
1058.6766074961497,0.0
1058.6862503768568,0.0
1058.6958932575642,0.0
1058.7055361382713,0.0
1058.7151790189785,0.0
1058.7248218996856,0.0
1058.7344647803927,0.0
1058.7441076610999,0.0
1058.753750541807,0.0
1058.7633934225141,0.0
1058.7730363032215,0.0
1058.7826791839286,0.0
1058.7923220646358,0.0
1058.801964945343,0.0
1058.81160782605,0.0
1058.8212507067572,0.0
1058.8308935874643,0.0
1058.8405364681714,0.0
1058.8501793488786,0.0
1058.859822229586,0.0
1058.869465110293,0.0
1058.8791079910002,0.0
1058.8887508717073,0.0
1058.8983937524144,0.0
1058.9080366331216,0.0
1058.9176795138287,0.0
1058.9273223945358,0.0
1058.9369652752432,0.0
1058.9466081559503,0.0
1058.9562510366575,0.0
1058.9658939173646,0.0
1058.9755367980717,0.0
1058.9851796787789,0.0
1058.994822559486,0.0
1059.0044654401931,0.0
1059.0141083209003,0.0
1059.0237512016076,0.0
1059.0333940823148,0.0
1059.043036963022,0.0
1059.052679843729,0.0
1059.0623227244362,0.0
1059.0719656051433,0.0
1059.0816084858504,0.0
1059.0912513665576,0.0
1059.100894247265,0.0
1059.110537127972,0.0
1059.1201800086792,0.0
1059.1298228893863,0.0
1059.1394657700935,0.0
1059.1491086508006,0.0
1059.1587515315077,0.0
1059.1683944122149,0.0
1059.178037292922,0.0
1059.1876801736294,0.0
1059.1973230543365,0.0
1059.2069659350436,0.0
1059.2166088157508,0.0
1059.226251696458,0.0
1059.235894577165,0.0
1059.2455374578722,0.0
1059.2551803385793,0.0
1059.2648232192867,0.0
1059.2744660999938,0.0
1059.284108980701,0.0
1059.293751861408,0.0
1059.3033947421152,0.0
1059.3130376228223,0.0
1059.3226805035295,0.0
1059.3323233842366,0.0
1059.341966264944,0.0
1059.351609145651,0.0
1059.3612520263582,0.0
1059.3708949070653,0.0
1059.3805377877725,0.0
1059.3901806684796,0.0
1059.3998235491867,0.0
1059.4094664298939,0.0
1059.419109310601,0.0
1059.4287521913084,0.0
1059.4383950720155,0.0
1059.4480379527226,0.0
1059.4576808334298,0.0
1059.467323714137,0.0
1059.476966594844,0.0
1059.4866094755512,0.0
1059.4962523562583,0.0
1059.5058952369657,0.0
1059.5155381176728,0.0
1059.52518099838,0.0
1059.534823879087,0.0
1059.5444667597942,0.0
1059.5541096405013,0.0
1059.5637525212085,0.0
1059.5733954019156,0.0
1059.5830382826227,0.0
1059.59268116333,0.0
1059.6023240440372,0.0
1059.6119669247444,0.0
1059.6216098054515,0.0
1059.6312526861586,0.0
1059.6408955668658,0.0
1059.650538447573,0.0
1059.66018132828,0.0
1059.6698242089874,0.0
1059.6794670896945,0.0
1059.6891099704017,0.0
1059.6987528511088,0.0
1059.708395731816,0.0
1059.718038612523,0.0
1059.7276814932302,0.0
1059.7373243739373,0.0
1059.7469672546445,0.0
1059.7566101353518,0.0
1059.766253016059,0.0
1059.775895896766,0.0
1059.7855387774732,0.0
1059.7951816581804,0.0
1059.8048245388875,0.0
1059.8144674195946,0.0
1059.8241103003018,0.0
1059.8337531810091,0.0
1059.8433960617162,0.0
1059.8530389424234,0.0
1059.8626818231305,0.0
1059.8723247038376,0.0
1059.8819675845448,0.0
1059.891610465252,0.0
1059.901253345959,0.0
1059.9108962266662,0.0
1059.9205391073735,0.0
1059.9301819880807,0.0
1059.9398248687878,0.0
1059.949467749495,0.0
1059.959110630202,0.0
1059.9687535109092,0.0
1059.9783963916163,0.0
1059.9880392723235,0.0
1059.9976821530308,0.0
1060.007325033738,0.0
1060.016967914445,0.0
1060.0266107951522,0.0
1060.0362536758594,0.0
1060.0458965565665,0.0
1060.0555394372736,0.0
1060.0651823179808,0.0
1060.074825198688,0.0
1060.0844680793953,0.0
1060.0941109601024,0.0
1060.1037538408095,0.0
1060.1133967215167,0.0
1060.1230396022238,0.0
1060.132682482931,0.0
1060.142325363638,0.0
1060.1519682443452,0.0
1060.1616111250526,0.0
1060.1712540057597,0.0
1060.1808968864668,0.0
1060.190539767174,0.0
1060.200182647881,0.0
1060.2098255285882,0.0
1060.2194684092954,0.0
1060.2291112900025,0.0
1060.2387541707096,0.0
1060.248397051417,0.0
1060.2580399321241,0.0
1060.2676828128313,0.0
1060.2773256935384,0.0
1060.2869685742455,0.0
1060.2966114549527,0.0
1060.3062543356598,0.0
1060.315897216367,0.0
1060.3255400970743,0.0
1060.3351829777814,0.0
1060.3448258584885,0.0
1060.3544687391957,0.0
1060.3641116199028,0.0
1060.37375450061,0.0
1060.383397381317,0.0
1060.3930402620242,0.0
1060.4026831427313,0.0
1060.4123260234387,0.0
1060.4219689041458,0.0
1060.431611784853,0.0
1060.44125466556,0.0
1060.4508975462672,0.0
